track_name,artist(s)_name,artist_count,in_spotify_playlists,streams,in_deezer_playlists,bpm,key,danceability_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,gender
WHERE SHE GOES,Bad Bunny,1,3133,303236322,87,144,A,65,80,14,63,11,6,Reggaeton
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,3090,725980112,43,148,F,67,76,48,0,8,3,Mexicana
fukumean,Gunna,1,1096,95217315,48,130,C#,85,62,12,0,28,9,Hip-Hop/Rap
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2953,553634067,66,170,D,81,48,21,0,8,33,Mexicana
un x100to,"Bad Bunny, Grupo Frontera",2,2876,505671438,54,83,F#,57,72,23,0,27,5,Mexicana
Super Shy,NewJeans,1,422,58255150,21,150,F,78,82,18,0,15,7,K-pop
Daylight,David Kushner,1,3528,387570742,182,130,D,51,43,83,0,9,3,Pop Alternativo
As It Was,Harry Styles,1,23575,2513188493,863,174,F#,52,73,34,0,31,6,Pop/Rock 
Cupid - Twin Ver.,Fifty Fifty,1,2942,496795686,78,120,B,78,59,43,0,34,3,K-pop
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,332,86444842,10,140,F,65,74,22,0,42,4,Mexicana
I Wanna Be Yours,Arctic Monkeys,1,12859,1297026226,582,135,,48,42,12,2,11,3,Indie Rock
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,1313,200647221,32,133,F,85,67,26,0,12,5,Mexicana
SABOR FRESA,Fuerza Regida,1,250,78300654,10,130,G,79,86,9,0,9,9,Mexicana
MOJABI GHOST,"Tainy, Bad Bunny",2,859,61245289,41,122,F#,81,71,14,0,56,4,Pop Disco
Dance The Night (From Barbie The Album),Dua Lipa,1,2988,127408954,143,110,B,67,85,2,0,33,5,Pop/Dance
Rush,Troye Sivan,1,864,22581161,50,126,F,74,84,0,0,11,6,Hip-Hop/R&B
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,6036,843957510,245,98,C#,71,61,36,0,8,5,Reggaeton
TQG,"Karol G, Shakira",2,4284,618990393,184,180,E,72,63,67,0,9,28,Mexicana
TQM,Fuerza Regida,1,584,176553476,15,125,F,79,85,27,0,11,6,Mexicana
El Azul,"Junior H, Peso Pluma",2,692,354495408,6,144,A,56,65,23,0,10,6,Pop
I'm Good (Blue),"Bebe Rexha, David Guetta",2,12482,1109433169,537,128,G,56,97,4,0,35,4,Pop
Die For You,The Weeknd,1,2483,1647990401,24,134,C#,59,52,9,0,15,7,Pop
Die For You - Remix,"Ariana Grande, The Weeknd",2,3408,518745108,74,67,C#,53,53,23,0,44,7,Reggaeton
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,1298,107753850,57,106,A#,72,64,7,0,10,5,Reggaeton
AMARGURA,Karol G,1,1133,153372011,23,107,F#,92,70,18,0,15,7,House/Electrônica
(It Goes Like) Nanana - Edit,Peggy Gou,1,2259,57876440,109,130,G,67,88,12,19,8,4,"Pop Alternativo
"
Another Love,Tom Odell,1,18371,1813673666,"3,394",123,E,45,54,70,0,9,4,Pop Alternativo
Moonlight,Kali Uchis,1,2649,256483385,57,137,G,64,72,51,0,17,5,Pop Latino
La Bachata,Manuel Turizo,1,6804,1214083358,161,125,G,84,68,58,0,22,4,Pop Latino
S91,Karol G,1,525,16011326,39,128,,86,72,59,0,9,19,Reggaeton
cardigan,Taylor Swift,1,7923,812019557,142,130,,61,58,55,0,27,4,Indie Pop/Folk
BESO,"Rauw Alejandro, ROSALÍA",2,4053,357925728,182,95,F,77,64,74,0,17,14,Reggaeton/Pop
Hey Mor,"Ozuna, Feid",2,4637,674072710,89,98,C#,90,59,0,0,10,29,Reggaeton
People,Libianca,1,3506,373199958,169,198,A#,59,42,55,0,10,7,Afrobeats/R&B
BABY HELLO,"Rauw Alejandro, Bizarrap",2,1004,54266102,58,130,C#,77,89,17,0,43,5,Reggaeton/Pop Urbano
golden hour,JVKE,1,4511,751134527,109,94,C#,51,59,65,18,25,3,Pop Alternativo
Viva La Vida,Coldplay,1,33898,1592909789,"4,095",138,F,49,62,9,0,11,3,Pop Rock
Yandel 150,"Yandel, Feid",2,3618,585695368,80,168,F#,78,73,5,0,10,7,Reggaeton
El Merengue,"Marshmello, Manuel Turizo",2,2114,223633238,110,124,G#,78,68,3,1,11,4,Pop Latino
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,8870,1440757818,141,92,C#,91,71,9,0,9,8,Reggaeton
What It Is (Solo Version),Doechii,1,804,95131998,24,172,C#,74,76,6,0,10,9,Hip-Hop/R&B
Don’t Blame Me,Taylor Swift,1,4875,685032533,0,136,A,62,53,11,0,6,4,Pop
Still With You,Jung Kook,1,31,38411956,8,88,C#,53,47,9,0,83,4,K-pop
Say Yes To Heaven,Lana Del Rey,1,2000,127567540,63,100,F#,49,35,71,9,11,3,Indie Pop/Alternative
Summertime Sadness,Lana Del Rey,1,20333,983637508,"1,632",112,C#,56,66,7,0,12,3,Indie Pop
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,553,141381703,45,125,B,80,83,31,0,8,4,K-pop/Hip-Hop
LALA,Myke Towers,1,1474,133716286,58,92,C#,71,74,7,0,10,4,Reggaeton
vampire,Olivia Rodrigo,1,1397,140003974,91,138,F,51,53,17,0,31,6,Pop Rock
Cruel Summer,Taylor Swift,1,7858,800840817,125,170,A,55,72,11,0,11,15,Pop
Sprinter,"Dave, Central Cee",2,2186,183706234,88,141,C#,92,58,19,0,8,24,Pop
Columbia,Quevedo,1,714,58149378,30,100,F,67,71,37,0,11,4,Hip-Hop
Flowers,Miley Cyrus,1,12211,1316855716,745,118,,71,68,6,0,3,7,Trap Latino
Kill Bill,SZA,1,8109,1163093654,161,89,G#,64,73,5,17,16,4,Pop
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,873,30546883,95,78,,44,9,96,0,10,3,R&B
Classy 101,"Feid, Young Miko",2,2610,335222234,54,100,B,86,66,14,0,12,16,Pop Alternativo
Like Crazy,Jimin,1,596,363369738,23,120,G,63,73,0,0,36,4,Reggaeton
I Can See You,Taylor Swift,1,516,52135248,42,123,F#,69,76,6,0,6,3,K-pop
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,1945,115364561,87,99,C#,85,68,7,0,36,20,Pop
Calm Down (with Selena Gomez),"Rema, Selena Gomez:",2,7112,899183384,318,107,B,80,80,43,0,14,4,Hip-Hop
Last Night,Morgan Wallen,1,2420,429829812,15,204,F#,52,68,46,0,15,4,Afrobeats
TULUM,"Peso Pluma, Grupo Frontera",2,266,52294266,13,168,F#,56,87,39,0,11,5,Country
Anti-Hero,Taylor Swift,1,9082,999748277,165,97,E,64,63,12,0,19,5,Mexicana
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,1150,123122413,34,120,,81,68,11,0,11,4,Pop
